timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 19:45:07,122;5302580;3.0;1.0;2.0;0;0;0;0;5
2020-05-29 19:45:08,365;5302580;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:45:14,578;5302580;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:50:12,684;5302581;3.0;1.0;2.0;0;0;0;0;18
2020-05-29 19:50:13,922;5302581;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:50:20,135;5302581;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:55:05,320;5302582;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 19:55:16,861;5302582;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 19:55:18,245;5302582;3.8666666666666667;1.0;2.8666666666666667;0;0;0;0;14
2020-05-29 19:55:19,490;5302582;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:00:02,057;5302583;1.0;0.0;1.0;0;0;0;0;7
2020-05-29 20:00:03,436;5302583;4.0;1.0;3.0;0;0;0;0;0
2020-05-29 20:00:04,677;5302583;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:00:10,877;5302583;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:05:07,622;5302584;1.6666666666666667;0.0;1.6666666666666667;0;0;0;0;39
2020-05-29 20:05:08,996;5302584;4.0;1.0;3.0;0;0;0;0;0
2020-05-29 20:05:10,243;5302584;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:05:16,435;5302584;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:10:01,625;5302585;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:10:13,188;5302585;0.4;0.0;0.4;0;0;0;0;1
2020-05-29 20:10:14,567;5302585;4.0;1.0;3.0;0;0;0;0;1
2020-05-29 20:10:15,808;5302585;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:15:00,994;5302586;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:15:07,181;5302586;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:15:18,758;5302586;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:15:20,138;5302586;3.3333333333333335;1.0;2.3333333333333335;0;0;0;0;8
2020-05-29 20:20:03,953;5302587;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:20:05,330;5302587;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 20:20:06,559;5302587;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:20:12,740;5302587;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:25:09,514;5302588;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:25:10,890;5302588;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 20:25:12,116;5302588;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:25:18,300;5302588;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:30:03,486;5302589;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:30:15,074;5302589;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:30:16,448;5302589;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 20:30:17,672;5302589;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:35:00,263;5302590;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:35:01,636;5302590;3.0;1.0;2.0;0;0;0;0;0
2020-05-29 20:35:02,858;5302590;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:35:09,042;5302590;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:40:05,824;5302591;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:40:07,196;5302591;2.933333333333333;1.0;1.9333333333333333;0;0;0;1;0
2020-05-29 20:40:08,415;5302591;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:40:14,602;5302591;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:45:11,387;5302592;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:45:12,754;5302592;2.7333333333333334;1.0;1.7333333333333334;0;0;6;6;21
2020-05-29 20:45:13,980;5302592;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:45:20,166;5302592;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:50:05,355;5302593;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:50:16,946;5302593;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:50:18,317;5302593;2.6666666666666665;1.0;1.6666666666666667;0;0;3;4;6
2020-05-29 20:50:19,538;5302593;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:55:02,145;5302594;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 20:55:03,505;5302594;2.7857142857142856;1.0714285714285714;1.7142857142857142;0;0;14;17;33
2020-05-29 20:55:04,754;5302594;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 20:55:10,915;5302594;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:00:07,717;5302595;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:00:09,064;5302595;2.533333333333333;1.0;1.4666666666666666;0;0;15;15;19
2020-05-29 21:00:10,312;5302595;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:00:16,490;5302595;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:05:01,719;5302596;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:05:07,391;5302596;1.0;1.0;0.0;0;0;0;0;0
2020-05-29 21:05:13,294;5302596;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:05:15,870;5302596;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:10:01,068;5302597;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:10:07,284;5302597;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:10:12,983;5302597;1.8;1.0;0.8;0;0;18;19;2
2020-05-29 21:10:18,868;5302597;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:15:04,057;5302598;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:15:06,628;5302598;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:15:12,855;5302598;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:15:18,548;5302598;2.0;1.4666666666666666;0.5333333333333333;0;10;3;4;0
2020-05-29 21:20:03,739;5302599;2.0;2.0;0.0;0;10;0;1;0
2020-05-29 21:20:09,617;5302599;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:20:12,188;5302599;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:20:18,412;5302599;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:25:03,600;5302600;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:25:09,300;5302600;2.0;2.0;0.0;0;0;0;0;0
2020-05-29 21:25:15,176;5302600;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:25:17,746;5302600;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:30:00,369;5302601;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:30:02,933;5302601;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:30:09,163;5302601;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:30:14,870;5302601;2.0;2.0;0.0;0;2;0;0;0
2020-05-29 21:35:00,077;5302602;1.9285714285714286;1.9285714285714286;0.0;0;0;0;0;0
2020-05-29 21:35:05,945;5302602;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:35:08,489;5302602;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:35:14,727;5302602;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:40:05,640;5302603;1.0;1.0;0.0;0;0;0;0;0
2020-05-29 21:40:11,508;5302603;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:40:14,050;5302603;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:40:20,295;5302603;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:45:05,485;5302604;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:45:11,201;5302604;2.6;1.8;0.8;0;0;0;1;1
2020-05-29 21:45:17,069;5302604;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:45:19,607;5302604;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:50:02,257;5302605;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:50:04,796;5302605;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:50:11,042;5302605;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:50:16,762;5302605;3.0;1.9333333333333333;1.0666666666666667;0;0;2;1;1
2020-05-29 21:55:01,962;5302606;3.4285714285714284;1.0;2.4285714285714284;0;0;1;2;7
2020-05-29 21:55:07,822;5302606;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 21:55:10,363;5302606;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 21:55:16,601;5302606;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 22:00:01,800;5302607;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 22:00:07,524;5302607;4.533333333333333;2.1333333333333333;2.4;0;0;3;4;18
2020-05-29 22:00:13,403;5302607;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 22:00:15,920;5302607;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 22:05:01,112;5302608;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 22:05:07,357;5302608;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 22:05:13,086;5302608;4.266666666666667;3.2;1.0666666666666667;0;0;1;1;0
2020-05-29 22:05:18,969;5302608;0.0;0.0;0.0;0;0;0;0;0
